org_key,year,event_key,match_key,match_number,time,alliance,team_key,scouter,StartPos,autoTotalFuel,AutoSetOf5Fuel,qScoringAccuracyAuto,AutoClimb,SingleFuel,SetsOfFuel,qHPFeedingEff,qAllianceFeedingEff,qScoringAccuracyTele,DidClimb,endClimb,ClimbHeight,feedLocation,diedDuringMatch,MinorFoul,MajorFoul,didDefense,qDefenseQuality,qDriverSkill,otherNotes,AutoPoints,TeleopPoints,EndgamePoints,contributedPoints,FuelPoints,ClimbPoints,AutoMistake,FoulPoints,superNotes
frc245,2026,2026week0,2026week0_qm1,1,2/21/2026 2:45:00 PM,red,frc501,"Shriya","Other side","0",,,"0","8","1",,,,"0",,"0",,"0",,,,"0","1","Very Very Mid :(","0","13","0","13","13","0","0",,""
frc245,2026,2026week0,2026week0_qm1,1,2/21/2026 2:45:00 PM,blue,frc5962,"Sophia","Middle","0",,,"0","0","0",,,,"0",,"0",,"1",,,,"0","1","","0","0","0","0","0","0","0",,""
frc245,2026,2026week0,2026week0_qm6,6,2/21/2026 3:35:00 PM,blue,frc6328,"Sanika","Other side","0",,,"0","10","0",,,,"0",,"0",,"0",,,,"0","2","","0","10","0","10","10","0","0",,""
frc245,2026,2026week0,2026week0_qm11,11,2/21/2026 4:20:00 PM,red,frc190,"Kasthuri","Middle","0",,,"0","7","0",,,,"0",,"0",,"0",,,,"0","2","","0","7","0","7","7","0","0",,""
frc245,2026,2026tuis,2026tuis_qm47,47,3/5/2026 6:10:00 AM,red,frc3646,"Shriya","Middle","37",,,"0","1","60",,,,"0","0","0",,"0",,,,"0","5","Just kept shooting, very good","37","301","0","338","338","0","0",,""
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,blue,frc3875,"Sky","Human player side","4",,,"0","34","8",,,,"0","0","0",,"0",,,,"0","3","","4","74","0","78","78","0","0",,""
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,red,frc9239,"Sanika","Human player side","0",,,"0","0","0",,,,"0","0","0",,"0",,,,"0","1","","0","0","0","0","0","0","0",,""
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,red,frc9203,"Anu","Other side","0",,,"0","0","0",,,,"0","0","0",,"0",,,,"0","1","It just moved around and didn’t collect any fuel or score","0","0","0","0","0","0","0",,""
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,blue,frc5623,"Pranav","Human player side","4",,,"0","3","14",,,,"0","0","0",,"0",,,,"0","3","","4","73","0","77","77","0","0",,""
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,blue,frc8397,"Sunny","Human player side","3",,,"0","0","0",,,,"1","1","1",,"0",,,,"0","2","","3","0","10","13","3","10","1",,""
frc245,2026,2026milak,2026milak_qm1,1,3/6/2026 4:00:00 PM,red,frc5559,"Claire","Human player side","3",,,"0","1","4",,,,"0","0","0",,"0",,,,"0","3","","3","21","0","24","24","0","0",,""
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,red,frc4453,"Sanika","Middle","0",,,"0","0","0",,,,"0","0","0",,"0",,,,"2","2","","0","0","0","0","0","0","0",,""
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,red,frc2959,"Claire","Other side","1",,,"0","0","0",,,,"0","0","0",,"0",,,,"0","3","","1","0","0","1","1","0","1",,""
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,blue,frc11407,"Sky","Other side","0",,,"0","0","0",,,,"0","0","0",,"1",,,,"0","1","","0","0","0","0","0","0","0",,""
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,blue,frc9215,"Pranav","Human player side","0",,,"0","1","0",,,,"0","0","0",,"0",,,,"3","2","Intake jammed","0","1","0","1","1","0","0",,""
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,red,frc8608,"Anu","Human player side","0",,,"0","61","12",,,,"0","0","0",,"0",,,,"1","5","Scored a lot, could move and shoot with a lot of accuracy ","0","121","0","121","121","0","0",,""
frc245,2026,2026milak,2026milak_qm2,2,3/6/2026 4:08:00 PM,blue,frc4327,"Sunny","Human player side","7",,,"0","27","4",,,,"0","0","0",,"0",,,,"0","4","","7","47","0","54","54","0","0",,""
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,red,frc5675,"Anu","Human player side","5",,,"0","29","0",,,,"0","0","0",,"0",,,,"0","1","Didn’t play defense, scored pretty accurately ","5","29","0","34","34","0","0",,""
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,blue,frc5610,"Sunny","Other side","0",,,"0","2","0",,,,"0","0","0",,"0",,,,"1","1","","0","2","0","2","2","0","0",,""
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,red,frc10651,"Sanika","Middle","0",,,"0","0","0",,,,"0","0","0",,"0",,,,"0","1","","0","0","0","0","0","0","0",,""
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,red,frc1188,"Claire","Human player side","0",,,"0","9","2",,,,"0","0","0",,"0",,,,"2","4","","0","19","0","19","19","0","0",,""
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,blue,frc9566,"Pranav","Middle","0",,,"0","0","0",,,,"0","0","0",,"0",,,,"0","1","No hopper","0","0","0","0","0","0","0",,""
frc245,2026,2026milak,2026milak_qm3,3,3/6/2026 4:16:00 PM,blue,frc2767,"Sky","Human player side","24",,,"0","0","26",,,,"0","0","0",,"0",,,,"0","3","","24","130","0","154","154","0","0",,""
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,red,frc5676,"Pranav","Middle","4",,,"0","0","16",,,,"0","0","0",,"0",,,,"0","5","","4","80","0","84","84","0","0",,""
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,blue,frc245,"Anu","Human player side","8",,,"0","4","0",,,,"1","0","1",,"0",,,,"0","3","Attempted scoring a bit, didn’t score a lot, human player did well","8","4","10","22","12","10","1",,""
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,blue,frc8041,"Claire","Other side","0",,,"0","3","0",,,,"0","0","0",,"0",,,,"0","2","","0","3","0","3","3","0","0",,""
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,red,frc5248,"Sanika","Human player side","0",,,"0","0","0",,,,"0","0","0",,"0",,,,"0","3","","0","0","0","0","0","0","0",,""
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,red,frc5152,"Sky","Other side","0",,,"1","0","0",,,,"1","1","1",,"0",,,,"4","4","","15","0","10","25","0","25","0",,""
frc245,2026,2026milak,2026milak_qm4,4,3/6/2026 4:24:00 PM,blue,frc11386,"Sunny","Middle","10",,,"0","0","1",,,,"0","1","1",,"0",,,,"0","3","","10","5","10","25","15","10","1",,""
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,red,frc9703,"Sunny","Human player side","0",,,"0","0","0",,,,"0","0","0",,"0",,,,"0","1","","0","0","0","0","0","0","0",,""
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,red,frc3658,"Claire","Other side","0",,,"0","0","0",,,,"0","0","0",,"1",,,,"0","3","","0","0","0","0","0","0","0",,""
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,red,frc9638,"Pranav","Middle","0",,,"0","1","0",,,,"0","0","0",,"0",,,,"0","1","","0","1","0","1","1","0","0",,""
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,blue,frc8126,"Anu","Human player side","0",,,"0","0","0",,,,"0","0","0",,"0",,,,"0","1","The bot collected fuel but didn’t shoot, didn’t drive well, was blocked by opposing team","0","0","0","0","0","0","0",,""
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,blue,frc5980,"Sanika","Middle","8",,,"0","0","0",,,,"0","0","0",,"0",,,,"0","3","","8","0","0","8","8","0","1",,""
frc245,2026,2026milak,2026milak_qm5,5,3/6/2026 4:32:00 PM,blue,frc7658,"Sky","Other side","0",,,"0","1","0",,,,"0","0","0",,"0",,,,"0","1","","0","1","0","1","1","0","0",,""
frc245,2026,2026milak,2026milak_qm6,6,3/6/2026 4:40:00 PM,red,frc9672,"Noah","Other side","0",,,"0","0","0",,,,"0","0","0",,"0",,,,"0","1","","0","0","0","0","0","0","0",,""
frc245,2026,2026milak,2026milak_qm6,6,3/6/2026 4:40:00 PM,blue,frc4237,"Sky","Human player side","23",,,"0","0","23",,,,"0","0","0",,"0",,,,"0","5","Intake broke around 2 min in","23","115","0","138","138","0","0",,""
